ra_bin_deg,dec_bin_deg,n_stars
15.0,-4.0,46204
15.0,-3.0,49901
15.0,-2.0,58146
15.0,-1.0,69876
15.0,0.0,86536
15.0,1.0,96421
15.0,2.0,92810
15.0,3.0,120648
15.0,4.0,135824
15.0,5.0,134681
15.0,6.0,182723
15.0,7.0,209814
15.0,8.0,266794
15.0,9.0,198839
15.0,10.0,133538
15.0,11.0,76939
15.0,12.0,61371
15.0,13.0,48308
15.0,14.0,31030
15.0,15.0,18131
15.0,16.0,9763
15.0,17.0,2475
16.0,-18.0,3752
16.0,-17.0,9570
16.0,-16.0,18183
16.0,-15.0,171919
16.0,-14.0,295957
16.0,-13.0,53196
16.0,-12.0,28779
16.0,-11.0,31000
16.0,-10.0,33403
16.0,-9.0,36551
16.0,-8.0,39692
16.0,-7.0,44472
16.0,-6.0,48785
16.0,-5.0,56104
16.0,-4.0,61356
16.0,-3.0,66888
16.0,-2.0,68256
16.0,-1.0,84754
16.0,0.0,117353
16.0,1.0,122391
16.0,2.0,133946
16.0,3.0,177244
16.0,4.0,169886
16.0,5.0,170021
16.0,6.0,208601
16.0,7.0,201989
16.0,8.0,225002
16.0,9.0,159812
16.0,10.0,111337
16.0,11.0,69084
16.0,12.0,55298
16.0,13.0,40441
16.0,14.0,27534
16.0,15.0,16815
16.0,16.0,9298
16.0,17.0,2487
17.0,-18.0,3923
17.0,-17.0,10338
17.0,-16.0,18089
17.0,-15.0,98767
17.0,-14.0,137431
17.0,-13.0,49155
17.0,-12.0,32284
17.0,-11.0,35221
17.0,-10.0,39309
17.0,-9.0,44158
17.0,-8.0,49527
17.0,-7.0,56490
17.0,-6.0,64897
17.0,-5.0,75449
17.0,-4.0,85608
17.0,-3.0,76264
17.0,-2.0,76185
17.0,-1.0,82320
17.0,0.0,104935
17.0,1.0,169328
17.0,2.0,232582
17.0,3.0,255590
17.0,4.0,210524
17.0,5.0,230833
17.0,6.0,259014
17.0,7.0,187014
17.0,8.0,177384
17.0,9.0,128647
17.0,10.0,95439
17.0,11.0,68359
17.0,12.0,49641
17.0,13.0,35443
17.0,14.0,24021
17.0,15.0,15459
17.0,16.0,8960
17.0,17.0,2469
18.0,-18.0,3948
18.0,-17.0,10532
18.0,-16.0,17910
18.0,-15.0,45484
18.0,-14.0,72430
18.0,-13.0,40829
18.0,-12.0,38030
18.0,-11.0,42111
18.0,-10.0,48443
18.0,-9.0,54757
18.0,-8.0,62754
18.0,-7.0,75111
18.0,-6.0,91812
18.0,-5.0,108891
18.0,-4.0,120308
18.0,-3.0,124016
18.0,-2.0,123380
18.0,-1.0,186294
18.0,0.0,207629
18.0,1.0,296447
18.0,2.0,273340
18.0,3.0,190893
18.0,4.0,228693
18.0,5.0,266708
18.0,6.0,188145
18.0,7.0,170030
18.0,8.0,141761
18.0,9.0,105950
18.0,10.0,73308
18.0,11.0,59248
18.0,12.0,42373
18.0,13.0,31608
18.0,14.0,21084
18.0,15.0,14336
18.0,16.0,8474
18.0,17.0,2404
19.0,-18.0,3859
19.0,-17.0,10596
19.0,-16.0,17613
19.0,-15.0,33412
19.0,-14.0,45249
19.0,-13.0,40079
19.0,-12.0,43173
19.0,-11.0,51897
19.0,-10.0,61687
19.0,-9.0,72045
19.0,-8.0,84166
19.0,-7.0,104960
19.0,-6.0,133979
19.0,-5.0,163795
19.0,-4.0,182293
19.0,-3.0,192334
19.0,-2.0,222198
19.0,-1.0,270061
19.0,0.0,217621
19.0,1.0,324849
19.0,2.0,289755
19.0,3.0,310985
19.0,4.0,261263
19.0,5.0,220399
19.0,6.0,165559
19.0,7.0,132433
19.0,8.0,103928
19.0,9.0,80045
19.0,10.0,62459
19.0,11.0,49176
19.0,12.0,36088
19.0,13.0,27627
19.0,14.0,19213
19.0,15.0,13291
19.0,16.0,8011
19.0,17.0,2377
20.0,-18.0,3892
20.0,-17.0,10812
20.0,-16.0,16932
20.0,-15.0,27830
20.0,-14.0,37840
20.0,-13.0,43409
20.0,-12.0,51780
20.0,-11.0,64788
20.0,-10.0,78927
20.0,-9.0,96022
20.0,-8.0,115333
20.0,-7.0,149416
20.0,-6.0,201932
20.0,-5.0,260314
20.0,-4.0,249069
20.0,-3.0,280986
20.0,-2.0,332376
20.0,-1.0,342998
20.0,0.0,333082
20.0,1.0,344328
20.0,2.0,308923
20.0,3.0,270518
20.0,4.0,207460
20.0,5.0,164648
20.0,6.0,122972
20.0,7.0,96432
20.0,8.0,76556
20.0,9.0,62698
20.0,10.0,51363
20.0,11.0,41472
20.0,12.0,31221
20.0,13.0,25020
20.0,14.0,17662
20.0,15.0,12762
20.0,16.0,7606
20.0,17.0,2225
21.0,-18.0,4060
21.0,-17.0,11334
21.0,-16.0,18303
21.0,-15.0,27828
21.0,-14.0,38969
21.0,-13.0,50065
21.0,-12.0,63800
21.0,-11.0,79627
21.0,-10.0,104990
21.0,-9.0,135274
21.0,-8.0,158950
21.0,-7.0,255277
21.0,-6.0,348330
21.0,-5.0,388928
21.0,-4.0,370740
21.0,-3.0,337189
21.0,-2.0,400124
21.0,-1.0,423278
21.0,0.0,335580
21.0,1.0,287405
21.0,2.0,222206
21.0,3.0,165432
21.0,4.0,137069
21.0,5.0,109539
21.0,6.0,89084
21.0,7.0,73675
21.0,8.0,59244
